carat,cut,color,clarity,depth,table,price,x,y,z,carat_encoded,cut_encoded,color_encoded,clarity_encoded,price_transformed
0.71,Ideal,F,SI1,62.5,55.0,2788,5.71,5.65,3.55,3,5,5,3,6.1519068735187625
1.01,Fair,E,I1,64.5,58.0,2788,6.29,6.21,4.03,3,1,6,1,6.1519068735187625
1.01,Premium,H,SI2,62.7,59.0,2788,6.31,6.22,3.93,3,4,3,2,6.1519068735187625
0.77,Good,F,SI1,64.2,52.0,2789,5.81,5.77,3.72,3,2,5,3,6.1521175118220555
0.76,Good,E,SI1,63.7,54.0,2789,5.76,5.85,3.7,3,2,6,3,6.1521175118220555
0.76,Premium,E,SI1,60.4,58.0,2789,5.92,5.94,3.58,3,4,6,3,6.1521175118220555
0.76,Premium,E,SI1,61.8,58.0,2789,5.82,5.86,3.61,3,4,6,3,6.1521175118220555
1.05,Very Good,J,SI2,63.2,56.0,2789,6.49,6.45,4.09,3,3,1,2,6.1521175118220555
0.81,Ideal,G,SI2,61.6,56.0,2789,5.97,6.01,3.69,3,5,4,2,6.1521175118220555
0.7,Ideal,E,SI1,61.6,56.0,2789,5.72,5.75,3.53,3,5,6,3,6.1521175118220555
0.55,Ideal,G,IF,60.9,57.0,2789,5.28,5.3,3.22,2,5,4,8,6.1521175118220555
0.81,Good,G,SI2,61.0,61.0,2789,5.94,5.99,3.64,3,2,4,2,6.1521175118220555
0.63,Premium,E,VVS2,62.1,57.0,2789,5.48,5.41,3.38,2,4,6,6,6.1521175118220555
0.63,Premium,E,VVS1,60.9,60.0,2789,5.55,5.52,3.37,2,4,6,7,6.1521175118220555
0.77,Premium,H,VS1,61.3,60.0,2789,5.9,5.88,3.61,3,4,3,5,6.1521175118220555
1.05,Fair,J,SI2,65.8,59.0,2789,6.41,6.27,4.18,3,1,1,2,6.1521175118220555
0.64,Ideal,G,IF,61.3,56.0,2790,5.54,5.58,3.41,2,5,4,8,6.152328069550411
0.76,Premium,I,VVS1,58.8,59.0,2790,6.0,5.94,3.51,3,4,2,7,6.152328069550411
0.83,Ideal,F,SI2,62.3,55.0,2790,6.02,6.05,3.76,3,5,5,2,6.152328069550411
0.71,Premium,F,VS1,60.1,62.0,2790,5.77,5.74,3.46,3,4,5,5,6.152328069550411
